domain,weight,implementation_score,automated_verification_score,cross_platform_acceptance_score,production_readiness_score,functional_coverage_score,development_plan_closure_score,status,evidence,remaining
"C 账号与身份",8,78,75,70,28,75.6,65.1,"部分闭环","services/api/src/modules/auth; apps/web/app/lib/client-api.ts; Spott/Features/Auth; Web/iOS 登录与手机号门禁代码、BFF 安全基础和大量测试","Web 仍把 access/refresh token 写入 localStorage；生产 OTP 默认 console；真实 Apple/Google/短信凭证与账号注销 E2E 未验"
"D 发现搜索收藏",8,88,72,75,45,84.1,71.3,"主流程成型","events.discovery-query.ts / events.discovery-sql.ts；iOS 真坐标地图；9 类筛选、5 类排序、推荐、收藏和关注","推荐流单测存在东京深夜跨日失败；认证局头筛选实际退化为手机号验证；未做真实规模性能与搜索质量验收"
"E 活动发布",10,82,72,68,35,77.8,66.1,"主流程成型","iOS/Web 草稿与编辑器、版本冲突、审核、风险分流、媒体上传和工作台均有真实代码","跨端草稿三方合并、图片响应丢失/并发上传和完整发布 E2E 未在当前树验收；生产对象存储/扫描/审核服务未接"
"F 报名候补签到",12,90,60,62,45,81.6,65.0,"代码强，当前验收红","报名审批、容量、FIFO 候补、递补报价、动态 QR/六位码、补签纠错、积分幂等代码与 API 集成测试丰富","Web test:unit 当前 28 个失败中 25 个集中在报名流，固定日期测试过期；500 并发、真实跨端最后一席和现场设备验收未重跑"
"G 群组与关系",8,80,75,68,38,76.4,67.1,"主流程成型","群组创建、角色、容量、加入审批、邀请、公告/评论/点赞、转让、解散和审计已覆盖 API/Web/iOS","新 discussion 后端端点未进入 OpenAPI 且客户端仍主要走公告评论；相册、活动级共同主办、会员和陌生人私信不在当前闭环"
"H 成就与信誉",4,64,72,45,25,58.3,53.8,"部分完成","规则版本、授予/撤回、隐私隐藏、公开信誉区间、4 个可获得种子与 iOS 成就页存在","分类 slug/确定性种子缺失使分类徽章阻塞；可信局头认证未设计；分享卡和 Web 完整体验未形成当前跨端验收"
"I 积分与 StoreKit",9,82,84,62,18,76.0,64.8,"代码成型，外部未验","双分录账本、幂等、冲正、负付费积分限制、商品目录和 App Store Server 验证代码及测试存在","未连接 App Store Connect 商品、真实 Sandbox 购买/退款/重复通知；无生产对账、财务和异常处理证据"
"J 费用边界",4,78,68,70,40,75.6,65.4,"产品边界成型","活动费由局头线下处理、平台不代收，报名披露和退款提示在 API/Web/iOS 中可见","日本特商法/资金结算法务未复核；联系局头的公开方式字段仍不完整；真实纠纷客服流程未演练"
"K 通知",6,78,78,60,18,72.6,61.5,"部分完成","站内通知、偏好、静默/频控、关键通知绕过、深链和 APNs 适配器均有实现与 Worker 测试","PUSH_PROVIDER 与邮件默认 console；APNs 凭证为空；无真实设备 Push、投递率、退订和短信通知证据"
"L 分享与归因",4,84,76,70,35,79.8,68.3,"主流程成型","分享码、归因、奖励、防重复、Web/iOS 系统分享与链接回流代码存在","生产域名、Associated Domains、Universal Link 和跨设备归因未验；成就分享卡和服务端日历 feed 不完整"
"M 安全举报与审核",7,86,84,70,32,81.2,70.6,"代码较强","私密举报、证据、拉黑、风险引擎、字段级地址权限、下架、申诉、Ops 审核和审计代码/测试丰富","Ops MFA 仍是假闭环；未做渗透测试、真实内容审核供应商、运营 SLA/值班、证据留存和法律流程验收"
"N 商业化",4,62,65,45,12,56.9,48.6,"部分完成","付费积分、活动置顶、配置化价格与推广标识存在","会员/订阅、组织者工具包、平台支付、发票、周期活动商业化未做或待决策；生产支付能力未接"
"O 运营后台",7,76,70,55,16,69.7,57.0,"部分完成，P0 安全口","Ops 登录、事件/群组/安全/配置/导出工作区与审计代码存在，Ops 构建通过","主分支仅以邮箱 OTP + mfa_enrolled_at 时间戳模拟 MFA；fix/ops-mfa 未合；无生产部署、双人审批和 step-up 实证"
"P 埋点与分析",5,70,70,50,15,64.0,54.0,"部分完成","事件模型、隐私同意、五类漏斗、Worker 指标和局头洞察基础存在","无真实采集后端、数据仓库/看板、告警、数据质量监控与留存分析；当前只证明代码路径而非业务数据"
"Q 非功能与质量",8,52,38,32,8,46.0,34.0,"当前发布阻断","Node 24、CI 分片、CSP、OpenAPI、三语资源键、夜间负载/可访问性脚本和大量测试资产存在","当前 API 1 fail、Web 28 fail、quality manifest 1 fail、无缓存全仓 gate fail；OpenAPI 有歧义路径警告、Web 大 chunk；真机无障碍/性能/SLO 未验"
"R 异常恢复与同步",5,68,60,45,15,61.1,49.3,"部分完成","Outbox/pull sync、WebSocket 唤醒、iOS 离线队列、幂等重放、游标不前置和冲突处理代码存在","SwiftData 初始化仍 fatalError；Web 只持久化游标而非完整离线业务缓存；损坏/降级/跨端 3 秒与 30 秒收敛证据未重跑"
"S 配置与灰度",3,82,72,58,25,74.8,61.6,"主流程成型","配置 revision、功能开关、阈值和运营审批/审计基础存在","生产环境分层、灰度人群、自动回滚、规则读取回证和变更演练未完成"
"T P0 验收与发布",8,42,20,10,5,32.4,20.0,"未闭环","十条 P0 场景所需的大部分底层能力和 CI 工作流已分散存在","十条场景没有在当前 HEAD 形成一套连续、同源、跨端验收证据；无生产 IaC、SLO/告警、恢复演练、App Review、合规签字和最终视觉签字"
